run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0075,"Lila packed 4 plain flowers.
Ella packed 4 calm buttons.",A,B,A,A,False,0.0,none,resample_per_test,minimal,0,"['pairwise_same_balanced_sentence_contains_digit_pool_0024', 'pairwise_same_balanced_sentence_contains_digit_pool_0130', 'pairwise_same_balanced_sentence_contains_digit_pool_0280', 'pairwise_same_balanced_sentence_contains_digit_pool_0127', 'pairwise_same_balanced_sentence_contains_digit_pool_0103', 'pairwise_same_balanced_sentence_contains_digit_pool_0052', 'pairwise_same_balanced_sentence_contains_digit_pool_0298', 'pairwise_same_balanced_sentence_contains_digit_pool_0123', 'pairwise_same_balanced_sentence_contains_digit_pool_0249', 'pairwise_same_balanced_sentence_contains_digit_pool_0048', 'pairwise_same_balanced_sentence_contains_digit_pool_0097', 'pairwise_same_balanced_sentence_contains_digit_pool_0270', 'pairwise_same_balanced_sentence_contains_digit_pool_0136', 'pairwise_same_balanced_sentence_contains_digit_pool_0181', 'pairwise_same_balanced_sentence_contains_digit_pool_0265', 'pairwise_same_balanced_sentence_contains_digit_pool_0279']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0227,"The basket had eleven yellow apples.
Near the door sat 2 round apples.",B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['pairwise_same_balanced_sentence_contains_digit_pool_0271', 'pairwise_same_balanced_sentence_contains_digit_pool_0209', 'pairwise_same_balanced_sentence_contains_digit_pool_0076', 'pairwise_same_balanced_sentence_contains_digit_pool_0094', 'pairwise_same_balanced_sentence_contains_digit_pool_0055', 'pairwise_same_balanced_sentence_contains_digit_pool_0283', 'pairwise_same_balanced_sentence_contains_digit_pool_0107', 'pairwise_same_balanced_sentence_contains_digit_pool_0170', 'pairwise_same_balanced_sentence_contains_digit_pool_0226', 'pairwise_same_balanced_sentence_contains_digit_pool_0102', 'pairwise_same_balanced_sentence_contains_digit_pool_0165', 'pairwise_same_balanced_sentence_contains_digit_pool_0017', 'pairwise_same_balanced_sentence_contains_digit_pool_0262', 'pairwise_same_balanced_sentence_contains_digit_pool_0269', 'pairwise_same_balanced_sentence_contains_digit_pool_0215', 'pairwise_same_balanced_sentence_contains_digit_pool_0152']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0249,"Near the door sat 3 happy beads.
Noah packed 10 plain cups.",A,B,A,A,False,0.0,none,resample_per_test,minimal,2,"['pairwise_same_balanced_sentence_contains_digit_pool_0292', 'pairwise_same_balanced_sentence_contains_digit_pool_0094', 'pairwise_same_balanced_sentence_contains_digit_pool_0132', 'pairwise_same_balanced_sentence_contains_digit_pool_0259', 'pairwise_same_balanced_sentence_contains_digit_pool_0047', 'pairwise_same_balanced_sentence_contains_digit_pool_0225', 'pairwise_same_balanced_sentence_contains_digit_pool_0146', 'pairwise_same_balanced_sentence_contains_digit_pool_0269', 'pairwise_same_balanced_sentence_contains_digit_pool_0194', 'pairwise_same_balanced_sentence_contains_digit_pool_0018', 'pairwise_same_balanced_sentence_contains_digit_pool_0299', 'pairwise_same_balanced_sentence_contains_digit_pool_0164', 'pairwise_same_balanced_sentence_contains_digit_pool_0020', 'pairwise_same_balanced_sentence_contains_digit_pool_0032', 'pairwise_same_balanced_sentence_contains_digit_pool_0221', 'pairwise_same_balanced_sentence_contains_digit_pool_0155']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0039,"Leo counted 2 bright boxes.
The shelf held six early brushes.",B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['pairwise_same_balanced_sentence_contains_digit_pool_0268', 'pairwise_same_balanced_sentence_contains_digit_pool_0050', 'pairwise_same_balanced_sentence_contains_digit_pool_0060', 'pairwise_same_balanced_sentence_contains_digit_pool_0068', 'pairwise_same_balanced_sentence_contains_digit_pool_0191', 'pairwise_same_balanced_sentence_contains_digit_pool_0160', 'pairwise_same_balanced_sentence_contains_digit_pool_0143', 'pairwise_same_balanced_sentence_contains_digit_pool_0271', 'pairwise_same_balanced_sentence_contains_digit_pool_0029', 'pairwise_same_balanced_sentence_contains_digit_pool_0164', 'pairwise_same_balanced_sentence_contains_digit_pool_0008', 'pairwise_same_balanced_sentence_contains_digit_pool_0255', 'pairwise_same_balanced_sentence_contains_digit_pool_0156', 'pairwise_same_balanced_sentence_contains_digit_pool_0114', 'pairwise_same_balanced_sentence_contains_digit_pool_0249', 'pairwise_same_balanced_sentence_contains_digit_pool_0208']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0131,"Ruby carried 9 smooth bags.
Three loose bags fell softly.",B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['pairwise_same_balanced_sentence_contains_digit_pool_0177', 'pairwise_same_balanced_sentence_contains_digit_pool_0151', 'pairwise_same_balanced_sentence_contains_digit_pool_0064', 'pairwise_same_balanced_sentence_contains_digit_pool_0222', 'pairwise_same_balanced_sentence_contains_digit_pool_0246', 'pairwise_same_balanced_sentence_contains_digit_pool_0023', 'pairwise_same_balanced_sentence_contains_digit_pool_0187', 'pairwise_same_balanced_sentence_contains_digit_pool_0046', 'pairwise_same_balanced_sentence_contains_digit_pool_0189', 'pairwise_same_balanced_sentence_contains_digit_pool_0097', 'pairwise_same_balanced_sentence_contains_digit_pool_0266', 'pairwise_same_balanced_sentence_contains_digit_pool_0109', 'pairwise_same_balanced_sentence_contains_digit_pool_0169', 'pairwise_same_balanced_sentence_contains_digit_pool_0171', 'pairwise_same_balanced_sentence_contains_digit_pool_0157', 'pairwise_same_balanced_sentence_contains_digit_pool_0078']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0053,"Near the door sat 4 early pens.
The shelf held twelve yellow flowers.",B,A,A,A,True,0.0,none,resample_per_test,minimal,5,"['pairwise_same_balanced_sentence_contains_digit_pool_0195', 'pairwise_same_balanced_sentence_contains_digit_pool_0201', 'pairwise_same_balanced_sentence_contains_digit_pool_0024', 'pairwise_same_balanced_sentence_contains_digit_pool_0215', 'pairwise_same_balanced_sentence_contains_digit_pool_0084', 'pairwise_same_balanced_sentence_contains_digit_pool_0067', 'pairwise_same_balanced_sentence_contains_digit_pool_0065', 'pairwise_same_balanced_sentence_contains_digit_pool_0247', 'pairwise_same_balanced_sentence_contains_digit_pool_0038', 'pairwise_same_balanced_sentence_contains_digit_pool_0068', 'pairwise_same_balanced_sentence_contains_digit_pool_0050', 'pairwise_same_balanced_sentence_contains_digit_pool_0004', 'pairwise_same_balanced_sentence_contains_digit_pool_0163', 'pairwise_same_balanced_sentence_contains_digit_pool_0139', 'pairwise_same_balanced_sentence_contains_digit_pool_0180', 'pairwise_same_balanced_sentence_contains_digit_pool_0020']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0174,"The shelf held eleven quick tiles.
Eleven quiet maps fell softly.",A,B,B,B,True,0.0,none,resample_per_test,minimal,6,"['pairwise_same_balanced_sentence_contains_digit_pool_0284', 'pairwise_same_balanced_sentence_contains_digit_pool_0091', 'pairwise_same_balanced_sentence_contains_digit_pool_0115', 'pairwise_same_balanced_sentence_contains_digit_pool_0181', 'pairwise_same_balanced_sentence_contains_digit_pool_0290', 'pairwise_same_balanced_sentence_contains_digit_pool_0076', 'pairwise_same_balanced_sentence_contains_digit_pool_0247', 'pairwise_same_balanced_sentence_contains_digit_pool_0167', 'pairwise_same_balanced_sentence_contains_digit_pool_0190', 'pairwise_same_balanced_sentence_contains_digit_pool_0110', 'pairwise_same_balanced_sentence_contains_digit_pool_0044', 'pairwise_same_balanced_sentence_contains_digit_pool_0054', 'pairwise_same_balanced_sentence_contains_digit_pool_0137', 'pairwise_same_balanced_sentence_contains_digit_pool_0178', 'pairwise_same_balanced_sentence_contains_digit_pool_0089', 'pairwise_same_balanced_sentence_contains_digit_pool_0056']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0166,"Zoe counted six silver tiles.
Seven plain mugs waited outside.",A,B,A,A,False,0.0,none,resample_per_test,minimal,7,"['pairwise_same_balanced_sentence_contains_digit_pool_0064', 'pairwise_same_balanced_sentence_contains_digit_pool_0048', 'pairwise_same_balanced_sentence_contains_digit_pool_0171', 'pairwise_same_balanced_sentence_contains_digit_pool_0121', 'pairwise_same_balanced_sentence_contains_digit_pool_0289', 'pairwise_same_balanced_sentence_contains_digit_pool_0260', 'pairwise_same_balanced_sentence_contains_digit_pool_0199', 'pairwise_same_balanced_sentence_contains_digit_pool_0116', 'pairwise_same_balanced_sentence_contains_digit_pool_0013', 'pairwise_same_balanced_sentence_contains_digit_pool_0151', 'pairwise_same_balanced_sentence_contains_digit_pool_0236', 'pairwise_same_balanced_sentence_contains_digit_pool_0100', 'pairwise_same_balanced_sentence_contains_digit_pool_0153', 'pairwise_same_balanced_sentence_contains_digit_pool_0263', 'pairwise_same_balanced_sentence_contains_digit_pool_0085', 'pairwise_same_balanced_sentence_contains_digit_pool_0045']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0026,"Nora saved 8 light stones.
4 small candles fell softly.",A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['pairwise_same_balanced_sentence_contains_digit_pool_0275', 'pairwise_same_balanced_sentence_contains_digit_pool_0016', 'pairwise_same_balanced_sentence_contains_digit_pool_0070', 'pairwise_same_balanced_sentence_contains_digit_pool_0062', 'pairwise_same_balanced_sentence_contains_digit_pool_0206', 'pairwise_same_balanced_sentence_contains_digit_pool_0173', 'pairwise_same_balanced_sentence_contains_digit_pool_0143', 'pairwise_same_balanced_sentence_contains_digit_pool_0124', 'pairwise_same_balanced_sentence_contains_digit_pool_0006', 'pairwise_same_balanced_sentence_contains_digit_pool_0144', 'pairwise_same_balanced_sentence_contains_digit_pool_0129', 'pairwise_same_balanced_sentence_contains_digit_pool_0068', 'pairwise_same_balanced_sentence_contains_digit_pool_0009', 'pairwise_same_balanced_sentence_contains_digit_pool_0097', 'pairwise_same_balanced_sentence_contains_digit_pool_0197', 'pairwise_same_balanced_sentence_contains_digit_pool_0079']"
production_gpt54_20260602T001915Z_pairwise_same_balanced_sentence_contains_digit_seed0,pairwise_same_balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_balanced_sentence_contains_digit_pool_0269,"The basket had eleven white coins.
Ivy sorted 2 silver plates.",B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['pairwise_same_balanced_sentence_contains_digit_pool_0181', 'pairwise_same_balanced_sentence_contains_digit_pool_0143', 'pairwise_same_balanced_sentence_contains_digit_pool_0215', 'pairwise_same_balanced_sentence_contains_digit_pool_0222', 'pairwise_same_balanced_sentence_contains_digit_pool_0299', 'pairwise_same_balanced_sentence_contains_digit_pool_0126', 'pairwise_same_balanced_sentence_contains_digit_pool_0251', 'pairwise_same_balanced_sentence_contains_digit_pool_0282', 'pairwise_same_balanced_sentence_contains_digit_pool_0019', 'pairwise_same_balanced_sentence_contains_digit_pool_0005', 'pairwise_same_balanced_sentence_contains_digit_pool_0257', 'pairwise_same_balanced_sentence_contains_digit_pool_0167', 'pairwise_same_balanced_sentence_contains_digit_pool_0216', 'pairwise_same_balanced_sentence_contains_digit_pool_0105', 'pairwise_same_balanced_sentence_contains_digit_pool_0247', 'pairwise_same_balanced_sentence_contains_digit_pool_0060']"
