run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0239,wsmdlo || cseqmqkekl,B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['pair_first_chars_match_pool_0064', 'pair_first_chars_match_pool_0441', 'pair_first_chars_match_pool_0138', 'pair_first_chars_match_pool_0099', 'pair_first_chars_match_pool_0369', 'pair_first_chars_match_pool_0001', 'pair_first_chars_match_pool_0156', 'pair_first_chars_match_pool_0332', 'pair_first_chars_match_pool_0340', 'pair_first_chars_match_pool_0498', 'pair_first_chars_match_pool_0352', 'pair_first_chars_match_pool_0372', 'pair_first_chars_match_pool_0088', 'pair_first_chars_match_pool_0116', 'pair_first_chars_match_pool_0113', 'pair_first_chars_match_pool_0123']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0214,twzyirnkh || quio,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['pair_first_chars_match_pool_0480', 'pair_first_chars_match_pool_0313', 'pair_first_chars_match_pool_0401', 'pair_first_chars_match_pool_0014', 'pair_first_chars_match_pool_0242', 'pair_first_chars_match_pool_0470', 'pair_first_chars_match_pool_0243', 'pair_first_chars_match_pool_0132', 'pair_first_chars_match_pool_0260', 'pair_first_chars_match_pool_0483', 'pair_first_chars_match_pool_0389', 'pair_first_chars_match_pool_0466', 'pair_first_chars_match_pool_0164', 'pair_first_chars_match_pool_0457', 'pair_first_chars_match_pool_0079', 'pair_first_chars_match_pool_0203']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0460,haeua || gjii,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['pair_first_chars_match_pool_0014', 'pair_first_chars_match_pool_0180', 'pair_first_chars_match_pool_0129', 'pair_first_chars_match_pool_0430', 'pair_first_chars_match_pool_0435', 'pair_first_chars_match_pool_0233', 'pair_first_chars_match_pool_0314', 'pair_first_chars_match_pool_0387', 'pair_first_chars_match_pool_0455', 'pair_first_chars_match_pool_0318', 'pair_first_chars_match_pool_0467', 'pair_first_chars_match_pool_0206', 'pair_first_chars_match_pool_0243', 'pair_first_chars_match_pool_0472', 'pair_first_chars_match_pool_0365', 'pair_first_chars_match_pool_0324']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0027,sbwbgq || wiclgiqsaj,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['pair_first_chars_match_pool_0000', 'pair_first_chars_match_pool_0107', 'pair_first_chars_match_pool_0100', 'pair_first_chars_match_pool_0095', 'pair_first_chars_match_pool_0379', 'pair_first_chars_match_pool_0441', 'pair_first_chars_match_pool_0489', 'pair_first_chars_match_pool_0252', 'pair_first_chars_match_pool_0136', 'pair_first_chars_match_pool_0234', 'pair_first_chars_match_pool_0009', 'pair_first_chars_match_pool_0239', 'pair_first_chars_match_pool_0269', 'pair_first_chars_match_pool_0340', 'pair_first_chars_match_pool_0203', 'pair_first_chars_match_pool_0121']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0242,natkoz || mokkzuek,B,A,B,B,False,0.0,none,resample_per_test,minimal,4,"['pair_first_chars_match_pool_0354', 'pair_first_chars_match_pool_0423', 'pair_first_chars_match_pool_0323', 'pair_first_chars_match_pool_0338', 'pair_first_chars_match_pool_0245', 'pair_first_chars_match_pool_0124', 'pair_first_chars_match_pool_0237', 'pair_first_chars_match_pool_0389', 'pair_first_chars_match_pool_0360', 'pair_first_chars_match_pool_0175', 'pair_first_chars_match_pool_0296', 'pair_first_chars_match_pool_0477', 'pair_first_chars_match_pool_0406', 'pair_first_chars_match_pool_0268', 'pair_first_chars_match_pool_0367', 'pair_first_chars_match_pool_0262']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0099,oqmizay || oowxfpgc,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['pair_first_chars_match_pool_0435', 'pair_first_chars_match_pool_0164', 'pair_first_chars_match_pool_0459', 'pair_first_chars_match_pool_0409', 'pair_first_chars_match_pool_0233', 'pair_first_chars_match_pool_0247', 'pair_first_chars_match_pool_0016', 'pair_first_chars_match_pool_0111', 'pair_first_chars_match_pool_0451', 'pair_first_chars_match_pool_0075', 'pair_first_chars_match_pool_0097', 'pair_first_chars_match_pool_0429', 'pair_first_chars_match_pool_0427', 'pair_first_chars_match_pool_0103', 'pair_first_chars_match_pool_0040', 'pair_first_chars_match_pool_0266']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0116,oieczjtcpysg || zdxfljkuay,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['pair_first_chars_match_pool_0335', 'pair_first_chars_match_pool_0106', 'pair_first_chars_match_pool_0043', 'pair_first_chars_match_pool_0247', 'pair_first_chars_match_pool_0397', 'pair_first_chars_match_pool_0492', 'pair_first_chars_match_pool_0062', 'pair_first_chars_match_pool_0170', 'pair_first_chars_match_pool_0430', 'pair_first_chars_match_pool_0090', 'pair_first_chars_match_pool_0257', 'pair_first_chars_match_pool_0461', 'pair_first_chars_match_pool_0078', 'pair_first_chars_match_pool_0204', 'pair_first_chars_match_pool_0036', 'pair_first_chars_match_pool_0001']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0164,hipsjur || vldd,B,A,B,B,False,0.0,none,resample_per_test,minimal,7,"['pair_first_chars_match_pool_0350', 'pair_first_chars_match_pool_0343', 'pair_first_chars_match_pool_0065', 'pair_first_chars_match_pool_0252', 'pair_first_chars_match_pool_0342', 'pair_first_chars_match_pool_0478', 'pair_first_chars_match_pool_0344', 'pair_first_chars_match_pool_0290', 'pair_first_chars_match_pool_0448', 'pair_first_chars_match_pool_0161', 'pair_first_chars_match_pool_0286', 'pair_first_chars_match_pool_0440', 'pair_first_chars_match_pool_0071', 'pair_first_chars_match_pool_0403', 'pair_first_chars_match_pool_0319', 'pair_first_chars_match_pool_0089']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0043,etmyl || exjlqlaaa,A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['pair_first_chars_match_pool_0388', 'pair_first_chars_match_pool_0479', 'pair_first_chars_match_pool_0427', 'pair_first_chars_match_pool_0144', 'pair_first_chars_match_pool_0167', 'pair_first_chars_match_pool_0009', 'pair_first_chars_match_pool_0394', 'pair_first_chars_match_pool_0254', 'pair_first_chars_match_pool_0260', 'pair_first_chars_match_pool_0406', 'pair_first_chars_match_pool_0488', 'pair_first_chars_match_pool_0267', 'pair_first_chars_match_pool_0264', 'pair_first_chars_match_pool_0313', 'pair_first_chars_match_pool_0327', 'pair_first_chars_match_pool_0218']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0081,njbnsmnjyjre || savjxlpyy,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['pair_first_chars_match_pool_0095', 'pair_first_chars_match_pool_0248', 'pair_first_chars_match_pool_0092', 'pair_first_chars_match_pool_0227', 'pair_first_chars_match_pool_0201', 'pair_first_chars_match_pool_0143', 'pair_first_chars_match_pool_0430', 'pair_first_chars_match_pool_0369', 'pair_first_chars_match_pool_0416', 'pair_first_chars_match_pool_0030', 'pair_first_chars_match_pool_0307', 'pair_first_chars_match_pool_0255', 'pair_first_chars_match_pool_0233', 'pair_first_chars_match_pool_0157', 'pair_first_chars_match_pool_0041', 'pair_first_chars_match_pool_0078']"
production_gpt54_20260602T001915Z_base_pair_first_chars_match_seed0,pair_first_chars_match,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pair_first_chars_match/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pair_first_chars_match_pool_0209,ouzigxqpt || orpqujqxgnc,A,B,B,B,True,0.0,none,resample_per_test,minimal,10,"['pair_first_chars_match_pool_0129', 'pair_first_chars_match_pool_0202', 'pair_first_chars_match_pool_0351', 'pair_first_chars_match_pool_0324', 'pair_first_chars_match_pool_0334', 'pair_first_chars_match_pool_0127', 'pair_first_chars_match_pool_0059', 'pair_first_chars_match_pool_0090', 'pair_first_chars_match_pool_0329', 'pair_first_chars_match_pool_0171', 'pair_first_chars_match_pool_0249', 'pair_first_chars_match_pool_0172', 'pair_first_chars_match_pool_0399', 'pair_first_chars_match_pool_0098', 'pair_first_chars_match_pool_0119', 'pair_first_chars_match_pool_0093']"
